Borough,NTAName,SiteName,SiteAddr,Open_Month,Day_Hours,Notes,Text
Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"No meat, bones, or dairy.","Brooklyn, Bay Ridge: 4th Avenue Presbyterian Church located at 6753 4th Avenue, Brooklyn, NY 11220. Open: Year Round during Every day (Start Time: Dawn - End Time:  Dusk). Notes: No meat, bones, or dairy."
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,Year Round,Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM),,"Manhattan, East Midtown-Turtle Bay: Dag Hammarskjold Plaza Greenmarket located at E 47th St & 2nd Ave. Open: Year Round during Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM). Notes: "
Manhattan,Hell's Kitchen,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),,"Manhattan, Hell's Kitchen: Hudson River Park's Pier 84 at W. 44th St. located at Pier 84 at W. 44th St. near dog park. Open: Year Round during Every day (Start Time: 7:00 AM - End Time:  7:00 PM). Notes: "
Manhattan,East Midtown-Turtle Bay,58th Street Library FSDO,127 East 58th Street,Year Round,Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM),,"Manhattan, East Midtown-Turtle Bay: 58th Street Library FSDO located at 127 East 58th Street. Open: Year Round during Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM). Notes: "
Manhattan,Tribeca-Civic Center,Tribeca Greenmarket,Greenwich St. & Duane St,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,"Manhattan, Tribeca-Civic Center: Tribeca Greenmarket located at Greenwich St. & Duane St. Open: Year Round during Saturday (Start Time: 8:00 AM - End Time:  1:00 PM). Notes: "
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,"Staten Island, St. George-New Brighton: St. George Greenmarket located at St. Marks Pl and Hyatt St. Open: Year Round during Saturday (Start Time: 8:00 AM - End Time:  1:00 PM). Notes: "
Manhattan,Manhattanville-West Harlem,St. Mary's Harlem,"521 W 126th St, New York, NY 10027",Year Round,Friday (Start Time: 8:30 AM - End Time:  12:30 PM),"No meat, bones, or dairy","Manhattan, Manhattanville-West Harlem: St. Mary's Harlem located at 521 W 126th St, New York, NY 10027. Open: Year Round during Friday (Start Time: 8:30 AM - End Time:  12:30 PM). Notes: No meat, bones, or dairy"
Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Year Round,Sunday (Start Time: 10:00 AM - End Time:  3:00 PM),,"Brooklyn, Crown Heights (North): 1100 Bergen Street Community Garden located at 1107 Bergen Street, Brooklyn, NY 11216. Open: Year Round during Sunday (Start Time: 10:00 AM - End Time:  3:00 PM). Notes: "
Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Year Round,Sunday (Start Time: 9:00 AM - End Time:  11:00 AM),,"Brooklyn, Prospect Park: Nurture BK located at Prospect Park, West of the entrance on Parkside Av (& Ocean Av). Open: Year Round during Sunday (Start Time: 9:00 AM - End Time:  11:00 AM). Notes: "
Brooklyn,Bushwick (West),BK Rot,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",Year Round,Sunday (Start Time: 12:00 PM - End Time:  3:00 PM),,"Brooklyn, Bushwick (West): BK Rot located at 1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden). Open: Year Round during Sunday (Start Time: 12:00 PM - End Time:  3:00 PM). Notes: "
Brooklyn,Fort Greene,Fort Greene Greenmarket,Washington Park and Myrtle Ave,Year Round,Saturday (Start Time: 9:00 AM - End Time:  2:00 PM),,"Brooklyn, Fort Greene: Fort Greene Greenmarket located at Washington Park and Myrtle Ave. Open: Year Round during Saturday (Start Time: 9:00 AM - End Time:  2:00 PM). Notes: "
Manhattan,Washington Heights (North),NW Audubon Avenue & West 192nd Street,Address Not Provided,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!","Manhattan, Washington Heights (North): NW Audubon Avenue & West 192nd Street located at Address Not Provided. Open: Year Round during 24/7. Notes: Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!"
Bronx,Concourse-Concourse Village,NW Gerard Avenue & East 150th Street,Address Not Provided,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!","Bronx, Concourse-Concourse Village: NW Gerard Avenue & East 150th Street located at Address Not Provided. Open: Year Round during 24/7. Notes: Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!"
Bronx,Norwood,NE Hull Avenue & East 207th Street,Address Not Provided,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!","Bronx, Norwood: NE Hull Avenue & East 207th Street located at Address Not Provided. Open: Year Round during 24/7. Notes: Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!"
Brooklyn,Bushwick (East),NW Knickerbocker Avenue & Palmetto Street,Address Not Provided,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!","Brooklyn, Bushwick (East): NW Knickerbocker Avenue & Palmetto Street located at Address Not Provided. Open: Year Round during 24/7. Notes: Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!"
Manhattan,Tribeca-Civic Center,SW of Greenwich St & Harrison ST,Address Not Provided,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!","Manhattan, Tribeca-Civic Center: SW of Greenwich St & Harrison ST located at Address Not Provided. Open: Year Round during 24/7. Notes: Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!"
